,exp,run,snapshot,pixel_similarity,structural_similarity,mean_squared_error,class
85,baseline_exp_0,i,5,0.9435842556423611,0.960282595746136,434.7680805121528,okay
86,baseline_exp_0,i,6,0.9395646158854166,0.9565709398588688,407.1023722330729,okay
87,baseline_exp_0,i,7,0.9391232638888888,0.9550773060360096,432.9384339735243,okay
88,baseline_exp_0,i,8,0.9540177408854168,0.9657804833928748,222.3724400499132,okay
89,baseline_exp_0,i,9,0.8466444227430555,0.9534602997453686,298.98416422526043,okay
90,baseline_exp_0,j,0,1.0,1.0,0.0,okay
91,baseline_exp_0,j,1,0.9453925238715276,0.967193646367532,237.6759293619792,okay
92,baseline_exp_0,j,2,0.9350184461805556,0.958045888263588,329.10818467881944,okay
93,baseline_exp_0,j,3,0.9329025607638888,0.9555350185808806,422.9827248806424,okay
94,baseline_exp_0,j,4,0.9180419921875,0.9585614217564624,204.98088216145837,okay
95,baseline_exp_0,j,5,0.9,0.9411370883639316,425.7094439019097,okay
96,baseline_exp_0,j,6,0.8994740125868056,0.9384072814450072,420.22994439019095,okay
97,baseline_exp_0,j,7,0.8988503689236111,0.9383960298029196,459.1447298177083,okay
98,baseline_exp_0,j,8,0.8970730251736111,0.9366797983625368,451.1686938476562,okay
99,baseline_exp_0,j,9,0.8492694769965278,0.9595551791477666,165.84432942708332,okay
100,baseline_exp_appearance_1,a,0,1.0,1.0,0.0,buggy
101,baseline_exp_appearance_1,a,1,0.9647054036458332,0.9842571648459594,162.08008273654514,buggy
102,baseline_exp_appearance_1,a,2,0.9635088433159722,0.9826284460268252,114.71075846354168,buggy
103,baseline_exp_appearance_1,a,3,0.9448106553819444,0.9632876234692642,347.002564561632,buggy
104,baseline_exp_appearance_1,a,4,0.9398749457465276,0.9600837645241468,289.71604926215275,buggy
105,baseline_exp_appearance_1,a,5,0.9356138780381944,0.9557511565701836,378.92279296875,buggy
106,baseline_exp_appearance_1,a,6,0.9190823025173612,0.9433695984986598,592.6027821180555,buggy
